"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 17 19:48:35 GMT 2025","Thu Jul 17 19:48:35 GMT 2025","239","","tests.api.BagApiTests","","tests.api.BagApiTests","getItemTest","Checking getting product in bag",""
"broken","Thu Jul 17 19:53:25 GMT 2025","Thu Jul 17 19:53:39 GMT 2025","13773","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","addMaximumQuantityToCartUnauthorizedUserTest","Verify maximum quantity of items added to cart for unauthorized user",""
"passed","Thu Jul 17 19:52:17 GMT 2025","Thu Jul 17 19:52:21 GMT 2025","3737","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldLoadCorrectHomePageUrlTest","Verify that the Home Page URL is correct after page load",""
"broken","Thu Jul 17 19:53:11 GMT 2025","Thu Jul 17 19:53:25 GMT 2025","13809","","tests.ui.MensClothesChapterTests","","tests.ui.MensClothesChapterTests","checkAuthorizedAddItemToCartTest","Authorized user adds a product to the cart",""
"passed","Thu Jul 17 19:51:41 GMT 2025","Thu Jul 17 19:51:45 GMT 2025","4413","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayCreateAccountButtonAfterClickingAccountTest","Click on account button and verify 'Create Account' button is visible",""
"failed","Thu Jul 17 19:48:36 GMT 2025","Thu Jul 17 19:48:36 GMT 2025","370","","tests.api.BagApiTests","","tests.api.BagApiTests","updateItemTest","Checking updating product in bag",""
"failed","Thu Jul 17 19:48:35 GMT 2025","Thu Jul 17 19:48:36 GMT 2025","430","","tests.api.BagApiTests","","tests.api.BagApiTests","deleteItemTest","Checking deleting product in bag",""
"passed","Thu Jul 17 19:48:44 GMT 2025","Thu Jul 17 19:48:49 GMT 2025","5437","","tests.ui.AccountPageTests","","tests.ui.AccountPageTests","shortPasswordSignInPageTest","Check 'Sign In' with password shorter than 8 characters",""
"passed","Thu Jul 17 19:52:21 GMT 2025","Thu Jul 17 19:52:25 GMT 2025","3948","","tests.ui.HomePageTests","","tests.ui.HomePageTests","shouldDisplayBasketButtonOnHomePageTest","Verify that the basket (cart) button is visible on the homepage",""
"failed","Thu Jul 17 19:48:34 GMT 2025","Thu Jul 17 19:48:35 GMT 2025","1184","","tests.api.BagApiTests","","tests.api.BagApiTests","addAndGetItemsTest","Checking getting different products in bag",""
